File,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
bu,1995-02-25,0,0,0,0,0,92,220,0,0,0,0,0,0,0,0,0,0,0,161,538,1150,412,8,38
bu,1995-02-26,941,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,329,834,552,499
bu,1995-02-27,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1204,508,1595,532,568,539,145,231,790,337
bu,1995-02-28,56,51,1640,15,0,0,0,0,0,0,0,0,0,0,145,647,264,70,571,457,323,461,2275,723
bu,1995-03-01,959,384,87,0,3,0,0,0,0,0,0,0,0,0,47,204,1571,1015,951,2090,596,1816,380,1062
bu,1995-03-02,1095,771,15,0,0,0,0,0,0,0,0,0,0,0,233,108,471,862,2139,811,1078,345,298,4058
bu,1995-03-03,1149,0,741,0,0,0,0,0,0,0,0,0,0,0,211,292,468,417,362,78,413,202,0,0
bu,1995-03-04,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,0,0,0,0,0,0
bu,1995-03-05,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,55,745,16,0,0
bu,1995-03-06,46,129,137,0,0,0,0,12,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bu,1995-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,80,0,0,0,0,48,0,0,0
bu,1995-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,14,0
bu,1995-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,124,82,128,56,0,334,286,0
bu,1995-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
bu,1995-03-11,0,0,3,311,124,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bu,1995-03-12,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,8,89,0
bu,1995-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,219,540,1083,3130,1690,1187,231,903,255
bu,1995-03-14,502,226,86,0,0,0,0,0,0,0,0,0,0,0,494,826,312,342,951,1449,817,516,1326,886
bu,1995-03-15,279,202,180,0,0,0,0,0,0,0,0,0,0,0,229,629,1127,3184,768,1715,1313,1574,145,109
bu,1995-03-16,193,524,1868,0,0,0,0,0,0,0,0,0,0,0,296,440,402,292,302,312,89,666,169,267
bu,1995-03-17,107,0,0,0,0,0,0,0,0,0,0,0,0,57,153,125,323,543,2142,434,72,200,0,0
bu,1995-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3,0,304,1104,141
bu,1995-03-19,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,113,105,250,271,133
bu,1995-03-20,86,35,0,0,0,0,0,0,0,0,0,0,0,0,255,551,668,588,171,789,905,153,327,848
bu,1995-03-21,655,65,34,10,0,0,13,49,0,8,0,0,0,0,234,1639,938,959,674,959,575,261,1011,537
bu,1995-03-22,249,113,101,0,0,0,0,0,0,0,0,0,0,0,202,164,2061,468,237,494,274,1771,10320,393
bu,1995-03-23,499,1893,478,0,0,0,0,0,0,0,0,0,0,0,407,499,1666,595,1039,697,419,92,204,202
bu,1995-03-24,1010,330,38,0,0,0,0,0,0,0,0,0,0,0,587,66,513,371,1172,1362,433,143,0,0
bu,1995-03-25,14,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765,1918,2077,2388,808,0,21
bu,1995-03-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492,888,963,319,288,404,642,1576
bu,1995-03-27,66,0,0,0,0,0,0,0,0,0,0,0,0,304,378,969,3153,1389,732,1773,178,43,787,297
bu,1995-03-28,392,119,20,0,0,0,0,0,0,0,0,0,0,0,297,134,703,115,99,789,366,51,1458,1081
bu,1995-03-29,1543,204,209,19,0,0,0,0,0,0,0,0,0,0,178,1015,876,207,468,217,260,435,165,63
bu,1995-03-30,59,396,1234,40,22,0,0,0,0,0,0,0,0,0,151,98,127,530,133,628,63,443,2288,670
bu,1995-03-31,209,66,0,0,0,0,0,0,0,0,0,0,0,0,1378,287,1231,1308,372,364,1392,390,0,0
bu,1995-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1233,102,102,566,0
bu,1995-04-02,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502,671,1229,467,145,125
bu,1995-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,207,1687,187,211,778,1591,523,130,58,163,4
bu,1995-04-04,374,314,380,0,0,0,0,0,0,0,0,0,0,75,391,338,1021,242,1428,2317,291,1119,1216,1275
bu,1995-04-05,942,247,21,68,75,0,0,0,0,0,0,0,0,35,306,145,3039,549,184,543,1039,625,237,863
bu,1995-04-06,89,0,0,0,0,0,0,0,0,0,0,0,0,155,487,712,1640,655,546,1346,972,1304,1387,1102
bu,1995-04-07,193,198,0,0,0,0,0,0,0,0,0,0,0,323,855,738,587,323,387,471,724,18,35,0
bu,1995-04-08,0,0,0,110,183,0,0,0,0,0,0,0,0,0,2309,1794,756,631,9,2530,1398,229,37,293
bu,1995-04-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,921,2057,2389,1248,369,357,1203
bu,1995-04-10,0,0,0,0,0,0,0,0,0,0,0,0,0,124,415,929,1156,1054,2351,887,841,2005,1273,410
bu,1995-04-11,574,175,51,0,31,0,0,0,0,0,0,0,0,29,1472,867,1576,353,375,984,338,635,980,1049
bu,1995-04-12,162,1285,0,0,0,0,0,0,0,0,0,0,0,1101,922,1526,956,1153,3419,1756,1795,930,236,324
bu,1995-04-13,16,300,0,0,0,0,0,0,0,0,0,0,0,579,2161,832,394,1771,1842,1355,0,0,0,0
bu,1995-04-14,0,0,0,0,69,94,13,0,0,0,0,0,0,408,840,2214,785,264,1075,706,346,127,15,0
bu,1995-04-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,10,0,891,502,1353,199
bu,1995-04-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,13,17,585,238,291
bu,1995-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bu,1995-04-18,0,0,0,0,0,0,0,0,0,0,0,0,0,579,725,1569,620,785,960,850,184,207,166,222
bu,1995-04-19,17533,0,0,0,0,0,0,0,0,0,0,0,0,421,1477,844,864,1103,2751,1719,1387,645,1078,383
