Date,Day,File,Cluster
1995-02-08,Wednesday,calgary,2
1995-02-09,Thursday,calgary,2
1995-02-10,Friday,calgary,2
1995-02-11,Saturday,calgary,2
1995-02-12,Sunday,calgary,2
1995-02-13,Monday,calgary,2
1995-02-14,Tuesday,calgary,2
1995-02-15,Wednesday,calgary,2
1995-02-16,Thursday,calgary,0
1995-02-17,Friday,calgary,2
1995-02-18,Saturday,calgary,1
1995-02-19,Sunday,calgary,0
1995-02-20,Monday,calgary,0
1995-02-21,Tuesday,calgary,1
1995-02-22,Wednesday,calgary,2
1995-02-23,Thursday,calgary,2
1995-02-24,Friday,calgary,2
1995-02-25,Saturday,calgary,0
1995-02-26,Sunday,calgary,2
1995-02-27,Monday,calgary,2
1995-02-28,Tuesday,calgary,2
1995-03-01,Wednesday,calgary,0
1995-03-02,Thursday,calgary,2
1995-03-03,Friday,calgary,2
1995-03-04,Saturday,calgary,1
1995-03-05,Sunday,calgary,0
1995-03-06,Monday,calgary,2
1995-03-07,Tuesday,calgary,2
1995-03-08,Wednesday,calgary,2
1995-03-09,Thursday,calgary,2
1995-03-10,Friday,calgary,2
1995-03-11,Saturday,calgary,2
1995-03-12,Sunday,calgary,0
1995-03-13,Monday,calgary,0
1995-03-14,Tuesday,calgary,0
1995-03-15,Wednesday,calgary,2
1995-03-16,Thursday,calgary,2
1995-03-17,Friday,calgary,2
1995-03-18,Saturday,calgary,0
1995-03-19,Sunday,calgary,1
1995-03-20,Monday,calgary,0
1995-03-21,Tuesday,calgary,0
1995-03-22,Wednesday,calgary,0
1995-03-23,Thursday,calgary,2
1995-03-24,Friday,calgary,2
1995-03-25,Saturday,calgary,2
1995-03-26,Sunday,calgary,0
1995-03-27,Monday,calgary,0
1995-03-28,Tuesday,calgary,0
1995-03-29,Wednesday,calgary,2
1995-03-30,Thursday,calgary,0
1995-03-31,Friday,calgary,2
1995-04-01,Saturday,calgary,0
1995-04-02,Sunday,calgary,1
1995-04-03,Monday,calgary,2
1995-04-04,Tuesday,calgary,2
1995-04-05,Wednesday,calgary,0
1995-04-06,Thursday,calgary,2
1995-04-07,Friday,calgary,2
1995-04-08,Saturday,calgary,2
1995-04-09,Sunday,calgary,2
1995-04-10,Monday,calgary,2
1995-04-11,Tuesday,calgary,2
1995-04-12,Wednesday,calgary,2
1995-04-13,Thursday,calgary,2
1995-04-14,Friday,calgary,2
1995-04-15,Saturday,calgary,2
1995-04-16,Sunday,calgary,2
1995-04-17,Monday,calgary,2
1995-04-18,Tuesday,calgary,2
1995-04-19,Wednesday,calgary,2
1995-04-20,Thursday,calgary,2
1995-04-21,Friday,calgary,2
1995-04-22,Saturday,calgary,1
1995-04-23,Sunday,calgary,1
1995-04-24,Monday,calgary,2
1995-04-25,Tuesday,calgary,2
1995-04-26,Wednesday,calgary,2
1995-04-27,Thursday,calgary,2
1995-04-28,Friday,calgary,2
1995-04-29,Saturday,calgary,2
1995-04-30,Sunday,calgary,0
1995-05-01,Monday,calgary,2
1995-05-02,Tuesday,calgary,2
1995-05-03,Wednesday,calgary,2
1995-05-04,Thursday,calgary,2
1995-05-05,Friday,calgary,2
1995-05-06,Saturday,calgary,1
1995-05-07,Sunday,calgary,1
1995-05-08,Monday,calgary,2
1995-05-09,Tuesday,calgary,2
1995-05-10,Wednesday,calgary,2
1995-05-11,Thursday,calgary,2
1995-05-12,Friday,calgary,2
1995-05-13,Saturday,calgary,1
1995-05-14,Sunday,calgary,1
1995-05-15,Monday,calgary,2
1995-05-16,Tuesday,calgary,2
1995-05-17,Wednesday,calgary,2
1995-05-18,Thursday,calgary,1
1995-05-19,Friday,calgary,2
1994-10-24,Monday,calgary,0
1994-10-25,Tuesday,calgary,2
1994-10-26,Wednesday,calgary,2
1994-10-27,Thursday,calgary,2
1994-10-28,Friday,calgary,2
