Datetime,Value
2018-05-12 15:00:00,12483
2018-05-12 16:00:00,12899
2018-05-12 17:00:00,8386
2018-05-12 18:00:00,8858
2018-05-12 19:00:00,10898
2018-05-12 20:00:00,8183
2018-05-12 21:00:00,9529
2018-05-12 22:00:00,6670
2018-05-12 23:00:00,8533
2018-05-13 00:00:00,7503
2018-05-13 01:00:00,6840
2018-05-13 02:00:00,5726
2018-05-13 03:00:00,8115
2018-05-13 04:00:00,8010
2018-05-13 05:00:00,9343
2018-05-13 06:00:00,9121
2018-05-13 07:00:00,8568
2018-05-13 08:00:00,10782
2018-05-13 09:00:00,12939
2018-05-13 10:00:00,13727
2018-05-13 11:00:00,14012
2018-05-13 12:00:00,11009
2018-05-13 13:00:00,11765
2018-05-13 14:00:00,14443
2018-05-13 15:00:00,12287
2018-05-13 16:00:00,12223
2018-05-13 17:00:00,9616
2018-05-13 18:00:00,10566
2018-05-13 19:00:00,9568
2018-05-13 20:00:00,9200
2018-05-13 21:00:00,10858
2018-05-13 22:00:00,10319
2018-05-13 23:00:00,8232
2018-05-14 00:00:00,7692
2018-05-14 01:00:00,6403
2018-05-14 02:00:00,7536
2018-05-14 03:00:00,8295
2018-05-14 04:00:00,10074
2018-05-14 05:00:00,9898
2018-05-14 06:00:00,9881
2018-05-14 07:00:00,11448
2018-05-14 08:00:00,13597
2018-05-14 09:00:00,13794
2018-05-14 10:00:00,18571
2018-05-14 11:00:00,20419
2018-05-14 12:00:00,12404
2018-05-14 13:00:00,14631
2018-05-14 14:00:00,13702
2018-05-14 15:00:00,10777
2018-05-14 16:00:00,12537
2018-05-14 17:00:00,10650
2018-05-14 18:00:00,10725
2018-05-14 19:00:00,10651
2018-05-14 20:00:00,11914
2018-05-14 21:00:00,10039
2018-05-14 22:00:00,11711
2018-05-14 23:00:00,8636
2018-05-15 00:00:00,7477
2018-05-15 01:00:00,5539
2018-05-15 02:00:00,5735
2018-05-15 03:00:00,7586
2018-05-15 04:00:00,7746
2018-05-15 05:00:00,7714
2018-05-15 06:00:00,8446
2018-05-15 07:00:00,9010
2018-05-15 08:00:00,13307
2018-05-15 09:00:00,10682
2018-05-15 10:00:00,14506
2018-05-15 11:00:00,14497
2018-05-15 12:00:00,11876
2018-05-15 13:00:00,11136
2018-05-15 14:00:00,13181
2018-05-15 15:00:00,11822
2018-05-15 16:00:00,10352
2018-05-15 17:00:00,8975
2018-05-15 18:00:00,8836
2018-05-15 19:00:00,8241
2018-05-15 20:00:00,9238
2018-05-15 21:00:00,8075
2018-05-15 22:00:00,8062
2018-05-15 23:00:00,7146
2018-05-16 00:00:00,5951
2018-05-16 01:00:00,4669
2018-05-16 02:00:00,4756
2018-05-16 03:00:00,5013
2018-05-16 04:00:00,8864
2018-05-16 05:00:00,6975
2018-05-16 06:00:00,6972
2018-05-16 07:00:00,7971
2018-05-16 08:00:00,9539
2018-05-16 09:00:00,11662
2018-05-16 10:00:00,11117
2018-05-16 11:00:00,15607
2018-05-16 12:00:00,10253
2018-05-16 13:00:00,9283
2018-05-16 14:00:00,11985
2018-05-16 15:00:00,10769
2018-05-16 16:00:00,12018
2018-05-16 17:00:00,8905
2018-05-16 18:00:00,8209
2018-05-16 19:00:00,8189
2018-05-16 20:00:00,6576
2018-05-16 21:00:00,7674
2018-05-16 22:00:00,9520
2018-05-16 23:00:00,5953
2018-05-17 00:00:00,5403
2018-05-17 01:00:00,5206
2018-05-17 02:00:00,4124
2018-05-17 03:00:00,5242
2018-05-17 04:00:00,7333
2018-05-17 05:00:00,6228
2018-05-17 06:00:00,6296
2018-05-17 07:00:00,7822
2018-05-17 08:00:00,8384
2018-05-17 09:00:00,9128
2018-05-17 10:00:00,9565
2018-05-17 11:00:00,11251
2018-05-17 12:00:00,8848
2018-05-17 13:00:00,9819
2018-05-17 14:00:00,8743
2018-05-17 15:00:00,9040
2018-05-17 16:00:00,7385
2018-05-17 17:00:00,7098
2018-05-17 18:00:00,6981
2018-05-17 19:00:00,7060
2018-05-17 20:00:00,7733
2018-05-17 21:00:00,6182
2018-05-17 22:00:00,5751
2018-05-17 23:00:00,6439
2018-05-18 00:00:00,5203
